Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Regulated-By	GO terms (biological process)	Transcription Units	gene ID	Pathways of gene	TU ID
yafN	b0232	252005	252298	antitoxin YafN	Regulation of yafN by DNA-binding transcriptional dual regulator Nac	regulation of growth // SOS response // DNA damage response // DNA repair // regulation of DNA-templated transcription	dinB-yafNOP // dinB-yafNOP // yafNOP	G6116		dinB-yafNOP // dinB-yafNOP // yafNOP
tsr	b4355	4591657	4593312	methyl-accepting chemotaxis protein Tsr		cell motility // receptor clustering // regulation of protein histidine kinase activity // detection of chemical stimulus // signal complex assembly // signal transduction // chemotaxis // regulation of chemotaxis // cellular response to amino acid stimulus // regulation of bacterial-type flagellum-dependent cell motility	tsr // tsr	EG11034		tsr // tsr
nrdG	b4237	4459900	4460364	anaerobic ribonucleoside-triphosphate reductase activating protein	Regulation of nrdG by DNA-binding transcriptional dual regulator Nac	2'-deoxyribonucleotide biosynthetic process // nucleobase-containing small molecule interconversion	nrdG // nrdDG	G812		nrdG // nrdDG
topAI	b4566	4533796	4534053	KpLE2 phage-like element; toxin of the TopAI-YjhQ toxin-antitoxin system, TopA inhibitor			topAI-yjhQ	G0-10473		topAI-yjhQ
ydiE	b1705	1789613	1789804	PF10636 family protein YdiE			ydiE	EG12391		ydiE
ygiZ	b3027	3171879	3172211	DUF2645 domain-containing inner membrane protein YgiZ	Regulation of ygiZ by DNA-binding transcriptional dual regulator Nac		ygiZ	G7577		ygiZ
tap	b1885	1969383	1970984	methyl-accepting chemotaxis protein Tap		signal transduction // chemotaxis	tar-tap-cheRBYZ	EG10987		tar-tap-cheRBYZ
yebY	b1839	1923365	1923706	DUF2511 domain-containing protein YebY		copper ion homeostasis	yobA-yebZY	G7012		yobA-yebZY
ydbL	b1383	1445880	1446206	DUF1318 domain-containing protein YdbL			ydbH-ynbE-ydbL	G6705		ydbH-ynbE-ydbL
yfdE	b2371	2488023	2489168	acetyl-CoA:oxalate CoA-transferase			yfdX // yfdE	G7234		yfdX // yfdE
ybdN	b0602	635349	636569	putative PAPS reductase/DUF3440 domain-containing protein YbdN		cellular response to oxygen levels	citR-ybdNM // ybdN	G6331		citR-ybdNM // ybdN
scpA	b2917	3060850	3062994	methylmalonyl-CoA mutase		propionate metabolic process, methylmalonyl pathway	scpA-argK-scpBC	EG11444	conversion of succinate to propanoate // propanoyl CoA degradation I	scpA-argK-scpBC
yhjR	b3535	3695997	3696185	PF10945 family protein YhjR	Regulation of yhjR by DNA-binding transcriptional dual regulator Lrp	cellulose biosynthetic process // bacterial cellulose biosynthetic process	yhjR	EG12262		yhjR
yhfG	b3362	3491453	3491620	DUF2559 domain-containing protein YhfG			yhfG-fic-pabA	EG12374		yhfG-fic-pabA
tam	b1519	1607346	1608104	<i>trans</i>-aconitate 2-methyltransferase	Regulation of tam by DNA-binding transcriptional repressor GlaR	methylation	lsrACDBFG-tam // tam	G6806		lsrACDBFG-tam // tam
yidH	b3676	3855960	3856307	DUF202 domain-containing inner membrane protein YidH		response to oxidative stress	yidHGF	EG11696		yidHGF
pntB	b1602	1674972	1676360	pyridine nucleotide transhydrogenase subunit &beta;		organic substance metabolic process // proton export across plasma membrane // NADPH regeneration	pntAB	EG10745	NAD phosphorylation and dephosphorylation	pntAB
yqeJ	b2848	2989304	2989786	protein YqeJ	Regulation of yqeJ by DNA-binding transcriptional dual regulator Nac		yqeIJ	G7468		yqeIJ
kptA	b4331	4560930	4561484	RNA 2'-phosphotransferase		tRNA processing // tRNA splicing, via endonucleolytic cleavage and ligation	kptA	G7928		kptA
yoaF	b1793	1877278	1877532	DUF333 domain-containing lipoprotein YoaF			yoaF	G6979		yoaF
citE	b0616	649582	650490	citrate lyase &beta; subunit		citrate metabolic process // oxaloacetate metabolic process // acetyl-CoA metabolic process	citCDEFXG // citCDEFXG	G6342	citrate degradation // citrate lyase activation	citCDEFXG // citCDEFXG
yehL	b2119	2204596	2205684	putative AAA+ MoxR family ATPase YehL	Regulation of yehL by DNA-binding transcriptional dual regulator Lrp // Regulation of yehL by DNA-binding transcriptional dual regulator Lrp		yehLMPQ	EG11998		yehLMPQ
yciU	b1248	1306821	1307150	DUF440 domain-containing protein YciU	Regulation of yciU by DNA-binding transcriptional repressor GlaR		clsA-yciU	G6633		clsA-yciU
hmp	b2552	2685835	2687025	nitric oxide dioxygenase		cellular response to nitrosative stress // nitric oxide catabolic process // oxygen transport // response to toxic substance // response to nitrosative stress	hmp	EG10456		hmp
yahO	b0329	346484	346759	DUF1471 domain-containing protein YahO		response to radiation	yahO	G6194		yahO
ulaF	b4198	4423700	4424386	L-ribulose-5-phosphate 4-epimerase UlaF		monosaccharide metabolic process // carbohydrate metabolic process // pentose catabolic process // L-ascorbic acid catabolic process // L-ascorbic acid metabolic process	ulaABCDEF	G7860	L-ascorbate degradation I (bacterial, anaerobic)	ulaABCDEF
ychJ	b1233	1288674	1289132	NTF2-like domain-containing protein YchJ			ychJ-purU // ychJ	EG12119		ychJ-purU // ychJ
scpC	b2920	3064802	3066280	propionyl-CoA:succinate CoA transferase		acetate metabolic process // acetyl-CoA metabolic process	scpA-argK-scpBC	G7517	conversion of succinate to propanoate	scpA-argK-scpBC
sufS	b1680	1759303	1760523	L-cysteine desulfurase		cysteine metabolic process // sulfur incorporation into metallo-sulfur cluster // iron-sulfur cluster assembly // selenium compound metabolic process // sulfur compound metabolic process	sufABCDSE	G6906		sufABCDSE
yedE	b1929	2008277	2009482	putative selenium transporter YedE			yedEF	EG11660		yedEF
can	b0126	142008	142670	carbonic anhydrase 2	Regulation of can by DNA-binding transcriptional dual regulator Lrp	protein homotetramerization // carbon utilization	can // can	EG12319		can // can
yihM	b3873	4061165	4062145	putative TIM barrel domain-containing protein YihM	Regulation of yihM by DNA-binding transcriptional repressor GlaR		yihLM	EG11839		yihLM
ssuE	b0937	996937	997512	NADPH-dependent FMN reductase	Regulation of ssuE by DNA-binding transcriptional dual regulator Nac	DNA damage response // alkanesulfonate catabolic process // cellular response to sulfate starvation	ssuEADCB	G6479	two-component alkanesulfonate monooxygenase	ssuEADCB
yaaI	b0013	11382	11786	DUF2541 domain-containing protein YaaI			yaaI	G8202		yaaI
ygbL	b2738	2863593	2864231	putative 3-oxo-tetronate 4-phosphate decarboxylase YgbL		monosaccharide metabolic process // carbohydrate metabolic process // pentose catabolic process	ygbLM	G7419		ygbLM
cysJ	b2764	2890099	2891898	sulfite reductase, flavoprotein subunit	Regulation of cysJ by DNA-binding transcriptional regulator YafC // Regulation of cysJ by DNA-binding transcriptional dual regulator YeiE // Regulation of cysJ by DNA-binding transcriptional dual regulator Nac	sulfate assimilation // hydrogen sulfide biosynthetic process // cysteine biosynthetic process // amino acid biosynthetic process	cysJIH	EG10191	superpathway of sulfate assimilation and cysteine biosynthesis // assimilatory sulfate reduction I	cysJIH
yfeY	b2432	2550641	2551216	DUF1131 domain-containing lipoprotein YfeY			yfeYX	G7267		yfeYX
yibF	b3592	3761347	3761955	glutathione transferase-like protein YibF		L-phenylalanine catabolic process // glutathione metabolic process	yibF	EG11762		yibF
cysD	b2752	2875421	2876329	sulfate adenylyltransferase subunit 2		sulfate assimilation // sulfate reduction // hydrogen sulfide biosynthetic process // response to oxidative stress // sulfur compound metabolic process	cysDNC	EG10186	superpathway of sulfate assimilation and cysteine biosynthesis // assimilatory sulfate reduction I // sulfate activation for sulfonation	cysDNC
ves	b1742	1824362	1824937	HutD family protein Ves		cellular response to cold	ves	G6938		ves
nemA	b1650	1726659	1727756	<i>N</i>-ethylmaleimide reductase		nitroglycerin metabolic process // 2,4,6-trinitrotoluene catabolic process // xenobiotic metabolic process	nemRA-gloA // nemRA // nemA	G6890		nemRA-gloA // nemRA // nemA
ynjE	b1757	1839467	1840774	molybdopterin synthase sulfurtransferase			ynjE	G6952	molybdopterin biosynthesis	ynjE
ymfA	b1122	1181264	1181725	putative inner membrane protein YmfA		bacterial-type flagellum-dependent swarming motility	ymfA-ycfZ	G6579		ymfA-ycfZ
trxB	b0888	931085	932050	thioredoxin reductase	Regulation of trxB by DNA-binding transcriptional dual regulator Lrp // Regulation of trxB by DNA-binding transcriptional dual regulator Nac	cell redox homeostasis // removal of superoxide radicals	trxB	EG11032	thioredoxin pathway	trxB
yafE	b0210	231926	232549	putative S-adenosylmethionine-dependent methyltransferase			yafDE	EG11651		yafDE
yidJ	b3678	3856911	3858404	putative sulfatase/phosphatase YidJ			yidKJ	EG11705		yidKJ
ytiA	b4715	4563668	4563925	uncharacterized protein YtiA				G0-16640		
yjiM	b4335	4564699	4565850	putative dehydratase subunit		DNA damage response	yjiML	G7932		yjiML
aslA	b3801	3984352	3986007	putative sulfatase AslA			aslA	EG10089		aslA
yehE	b2112	2192515	2192796	DUF2574 domain-containing protein YehE	Regulation of yehE by DNA-binding transcriptional repressor GlaR		yehE	EG11991		yehE
citD	b0617	650487	650783	citrate lyase acyl carrier protein		citrate metabolic process // acetyl-CoA metabolic process	citCDEFXG // citCDEFXG	G6343	citrate degradation // citrate lyase activation	citCDEFXG // citCDEFXG
ydeN	b1498	1580842	1582524	putative sulfatase YdeN	Regulation of ydeN by DNA-binding transcriptional dual regulator Lrp		ydeNM // ydeN	G6788		ydeNM // ydeN
yciI	b1251	1310569	1310865	protein YciI			yciI	EG11607		yciI
fpr	b3924	4113726	4114472	flavodoxin/ferredoxin-NADP<sup>+</sup> reductase		heme catabolic process // cellular response to oxidative stress // response to xenobiotic stimulus // iron-sulfur cluster assembly // response to superoxide	fpr	EG10628		fpr
cysN	b2751	2873992	2875419	sulfate adenylyltransferase subunit 1	Regulation of cysN by DNA-binding transcriptional repressor GlaR	sulfate reduction // sulfate assimilation // hydrogen sulfide biosynthetic process // sulfur compound metabolic process	cysDNC	EG10194	superpathway of sulfate assimilation and cysteine biosynthesis // assimilatory sulfate reduction I // sulfate activation for sulfonation	cysDNC
yjeN	b4157	4385393	4385707	uncharacterized protein YjeN			yjeNO	G7838		yjeNO
yjhH	b4298	4524105	4525010	KpLE2 phage-like element; putative 2-dehydro-3-deoxy-D-pentonate aldolase		aldonic acid catabolic process	yjhIHG	G7911		yjhIHG
yjfI	b4181	4410133	4410534	DUF2170 domain-containing protein YjfI			nsrR-rnr-rlmB-yjfI // yjfIJ	G7846		nsrR-rnr-rlmB-yjfI // yjfIJ
cysH	b2762	2887578	2888312	phosphoadenosine phosphosulfate reductase		hydrogen sulfide biosynthetic process // sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) // sulfur compound metabolic process	cysH // cysJIH	EG10189	superpathway of sulfate assimilation and cysteine biosynthesis // assimilatory sulfate reduction I	cysH // cysJIH
yfcL	b2325	2443891	2444169	PF08891 family protein YfcL			prmB-aroC-mepA-yfcA-epmC-yfcL	G7200		prmB-aroC-mepA-yfcA-epmC-yfcL
hyi	b0508	535710	536486	hydroxypyruvate isomerase		glyoxylate metabolic process	gcl-hyi-glxR-ybbVW-allB-ybbY-glxK	G6277		gcl-hyi-glxR-ybbVW-allB-ybbY-glxK
yjcS	b4083	4304612	4306597	linear primary-alkylsulfatase		dodecyl sulfate metabolic process	yjcS	EG11955		yjcS
ydhW	b1672	1751077	1751724	uncharacterized protein YdhW			ydhYVWXUT // ydhYVW	G6900		ydhYVWXUT // ydhYVW
yghU	b2989	3138727	3139593	disulfide reductase / organic hydroperoxide reductase		cellular oxidant detoxification	yghU	G7553		yghU
sseA	b2521	2652494	2653339	3-mercaptopyruvate sulfurtransferase		response to oxidative stress // DNA protection // response to antibiotic	sseA	EG11600	L-cysteine degradation III // thiosulfate disproportionation IV (rhodanese)	sseA
ycaP	b0906	956762	957454	DUF421 domain-containing protein YcaP			ycaP	G6469		ycaP
kduD	b2842	2982497	2983258	putative 2-keto-3-deoxy-D-gluconate dehydrogenase		D-galacturonate catabolic process // D-glucuronate catabolic process	kduD	EG12361		kduD
cysZ	b2413	2531463	2532224	sulfate:H+ symporter		proton transmembrane transport // sulfate transport // amino acid biosynthetic process // sulfate transmembrane transport // sulfate assimilation // cysteine biosynthetic process	cysZ	EG10003		cysZ
ydcH	b1426	1498651	1498875	DUF465 domain-containing protein YdcH			ydcH	EG12865		ydcH
yqeA	b2874	3011461	3012393	putative amino acid kinase YqeA		arginine deiminase pathway // arginine metabolic process // phosphorylation	yqeA	G7493		yqeA
yigI	b3820	4004230	4004697	acyl-CoA thioesterase YigI	Regulation of yigI by DNA-binding transcriptional dual regulator Nac // Regulation of yigI by DNA-binding transcriptional dual regulator ArcA-phosphorylated // Regulation of yigI by DNA-binding transcriptional dual regulator ArcA-phosphorylated	lipid metabolic process // monocarboxylic acid metabolic process // organic substance catabolic process	yigI	EG11467		yigI
glpE	b3425	3561497	3561823	thiosulfate sulfurtransferase GlpE	Regulation of glpE by DNA-binding transcriptional dual regulator ArcA-phosphorylated	glycerol metabolic process // sulfur utilization	glpEGR	EG10395	thiosulfate disproportionation IV (rhodanese)	glpEGR
yiiX	b3937	4127286	4127894	putative lipid-binding hydrolase YiiX			yiiX	EG11882		yiiX
yihR	b3879	4069475	4070401	putative sulfoquinovose mutarotase YihR		galactose catabolic process via UDP-galactose // glucose metabolic process // carbohydrate metabolic process // single-species biofilm formation // 6-sulfoquinovose(1-) catabolic process	yihR	EG11844		yihR
ssuD	b0935	994843	995988	FMNH<sub>2</sub>-dependent alkanesulfonate monooxygenase		cellular response to sulfur starvation // protein homotetramerization // response to heat // alkanesulfonate catabolic process	ssuEADCB	G6477	two-component alkanesulfonate monooxygenase	ssuEADCB
ygfB	b2909	3054866	3055444	PF03695 family protein YgfB			ygfB-pepP-ubiHI	EG11323		ygfB-pepP-ubiHI
folX	b2303	2421325	2421687	dihydroneopterin triphosphate 2'-epimerase		pteridine-containing compound biosynthetic process // folic acid-containing compound metabolic process	folX-yfcH	G7195	tetrahydromonapterin biosynthesis	folX-yfcH
csdE	b2811	2944542	2944985	sulfur acceptor protein CsdE		cyclic threonylcarbamoyladenosine biosynthetic process	csdAE	G7455		csdAE
yrbL	b3207	3348452	3349084	protein kinase-like domain-containing protein YrbL			yrbL	G7667		yrbL
ycjG	b1325	1388930	1389895	L-Ala-D/L-Glu epimerase		cell wall organization // amino acid catabolic process // peptidoglycan turnover	ycjG	G6661	muropeptide degradation	ycjG
cysI	b2763	2888387	2890099	sulfite reductase, hemoprotein subunit		sulfate assimilation // hydrogen sulfide biosynthetic process // cysteine biosynthetic process // amino acid biosynthetic process	cysJIH	EG10190	superpathway of sulfate assimilation and cysteine biosynthesis // assimilatory sulfate reduction I	cysJIH
yfaP	b2225	2327367	2328143	DUF2135 domain-containing protein YfaP	Regulation of yfaP by DNA-binding transcriptional dual regulator Lrp		yfaATSQP	G7152		yfaATSQP
yhfS	b3376	3504935	3506020	putative aminotransferase YhfS		amino acid metabolic process // biosynthetic process	yhfXW-php-yhfUTS	G7728		yhfXW-php-yhfUTS
pntA	b1603	1676371	1677903	pyridine nucleotide transhydrogenase subunit &alpha;	Regulation of pntA by DNA-binding transcriptional dual regulator Lrp // Regulation of pntA by DNA-binding transcriptional dual regulator Nac // Regulation of pntA by DNA-binding transcriptional dual regulator ArcA-phosphorylated // Regulation of pntA by DNA-binding transcriptional dual regulator ArcA-phosphorylated	proton export across plasma membrane // proton transmembrane transport // NADPH regeneration	pntAB	EG10744	NAD phosphorylation and dephosphorylation	pntAB
dsbD	b4136	4363345	4365042	thiol-disulfide exchange protein DsbD		electron transport chain // cytochrome complex assembly // response to copper ion // cell redox homeostasis	dsbD-yjdC	EG12178	cytochrome <i>c</i> biogenesis (system I type) // periplasmic disulfide bond reduction	dsbD-yjdC
ynfC	b1585	1656747	1657457	PF06788 family lipoprotein YnfC			ynfC	G6843		ynfC
sgcE	b4301	4526905	4527537	KpLE2 phage-like element; putative epimerase SgcE		pentose-phosphate shunt, non-oxidative branch // carbohydrate metabolic process	sgcXBCQAER	G7914		sgcXBCQAER
cysC	b2750	2873387	2873992	adenylyl-sulfate kinase		sulfate assimilation // hydrogen sulfide biosynthetic process // phosphorylation	cysDNC	EG10185	superpathway of sulfate assimilation and cysteine biosynthesis // assimilatory sulfate reduction I // sulfate activation for sulfonation	cysDNC
chiQ	b0682	709790	710116	lipoprotein ChiQ			chiZPQ // chiQ	G6371		chiZPQ // chiQ
citF	b0615	648039	649571	citrate lyase &alpha; subunit		citrate metabolic process // acetyl-CoA metabolic process	citCDEFXG // citCDEFXG	G6341	citrate degradation // citrate lyase activation	citCDEFXG // citCDEFXG
sseB	b2522	2654157	2654933	protein SseB			sseB	EG11601		sseB
ybcH	b0567	587091	587981	putative exopolysaccharide secretion system auxiliary component		secretion by cell	ybcH	EG12448		ybcH
hdhA	b1619	1697273	1698040	7-&alpha;-hydroxysteroid dehydrogenase		lipid catabolic process // steroid metabolic process // lipid metabolic process // bile acid catabolic process	hdhA	EG10425		hdhA
galF	b2042	2113434	2114327	UTP:glucose-1-phosphate uridylyltransferase, low activity		biosynthetic process // UDP-glucose metabolic process // nucleotide-sugar metabolic process // lipopolysaccharide biosynthetic process	galF	G7093		galF
yebF	b1847	1930034	1930390	secreted protein YebF	Regulation of yebF by DNA-binding transcriptional dual regulator Lrp		yebF	EG11807		yebF
ulaE	b4197	4422846	4423700	L-ribulose-5-phosphate 3-epimerase UlaE		carbohydrate metabolic process // L-ascorbic acid catabolic process // L-ascorbic acid metabolic process	ulaABCDEF	G7859	L-ascorbate degradation I (bacterial, anaerobic)	ulaABCDEF
creA	b4397	4635521	4635994	PF05981 family protein CreA	Regulation of creA by DNA-binding transcriptional dual regulator Lrp		creABC // creABCD	EG11217		creABC // creABCD
ppnN	b2795	2926308	2927672	nucleotide 5'-monophosphate nucleosidase		protein homotetramerization	ppnN	EG12373	adenosine nucleotides degradation III	ppnN
yfaA	b2230	2334956	2336644	DUF2138 domain-containing protein YfaA			yfaATSQP	EG11142		yfaATSQP
nfsB	b0578	604771	605424	NAD(P)H-dependent nitroreductase NfsB		2,4,6-trinitrotoluene catabolic process	nfsB	EG50005		nfsB
ushA	b0480	504914	506566	5'-nucleotidase / UDP-sugar hydrolase		nucleotide catabolic process	ushA	EG11060	adenosine nucleotides degradation II	ushA
ygjP	b3085	3235960	3236463	putative metal-dependent hydrolase		nucleotide metabolic process	ygjP	G7604		ygjP
scpB	b2919	3063993	3064778	methylmalonyl-CoA decarboxylase	Regulation of scpB by DNA-binding transcriptional dual regulator Nac	fatty acid beta-oxidation	scpA-argK-scpBC	G7516	conversion of succinate to propanoate	scpA-argK-scpBC
sthA	b3962	4159390	4160790	soluble pyridine nucleotide transhydrogenase	Regulation of sthA by DNA-binding transcriptional dual regulator Lrp // Regulation of sthA by DNA-binding transcriptional dual regulator ArcA-phosphorylated // Regulation of sthA by DNA-binding transcriptional dual regulator ArcA-phosphorylated // Regulation of sthA by DNA-binding transcriptional dual regulator ArcA-phosphorylated // Regulation of sthA by small regulatory RNA Spot 42	NADP metabolic process // proton transmembrane transport // cell redox homeostasis	sthA	EG11428		sthA
yobB	b1843	1925440	1926096	putative carbon-nitrogen hydrolase family protein YobB	Regulation of yobB by DNA-binding transcriptional dual regulator Nac	nitrogen compound metabolic process	yobB-exoX	G7015		yobB-exoX
sgbH	b3581	3748577	3749239	3-keto-L-gulonate-6-phosphate decarboxylase SgbH		L-ascorbic acid catabolic process // 'de novo' pyrimidine nucleobase biosynthetic process // carbohydrate metabolic process // carbohydrate catabolic process	yiaKLMNO-lyx-sgbHUE // yiaKLMNO-lyx-sgbHUE	EG12285	L-ascorbate degradation II (bacterial, aerobic)	yiaKLMNO-lyx-sgbHUE // yiaKLMNO-lyx-sgbHUE
dgcJ	b1786	1872041	1873531	diguanylate cyclase DgcJ	Regulation of dgcJ by DNA-binding transcriptional dual regulator H-NS // Regulation of dgcJ by DNA-binding transcriptional dual regulator Lrp	cell adhesion involved in single-species biofilm formation // negative regulation of bacterial-type flagellum-dependent cell motility	dgcJ	G6972		dgcJ
ghoS	b4128	4352584	4352880	antitoxin of the GhoTS toxin-antitoxin system			ghoST	G7830		ghoST
ydcJ	b1423	1495288	1496631	DUF1338 domain-containing protein YdcJ			ydcJ	G6738		ydcJ
yqjE	b3099	3249683	3250087	inner membrane protein YqjE			yqjCDEK	G7613		yqjCDEK
yccA	b0970	1030759	1031418	modulator of FtsH protease		negative regulation of apoptotic process // regulation of proteolysis	yccA	EG11113		yccA
orn	b4162	4391604	4392149	oligoribonuclease		DNA metabolic process // RNA catabolic process	orn	G7842		orn
ybeQ	b0644	675570	676547	Sel1 repeat-containing protein YbeQ		response to oxidative stress	ybeQ	G6351		ybeQ
bdm	b1481	1556065	1556280	biofilm-dependent modulation protein		positive regulation of bacterial-type flagellum assembly	bdm-sra	G6776		bdm-sra
rssB	b1235	1290242	1291255	RssB-P // regulator of RpoS	Regulation of rssB by DNA-binding transcriptional repressor GlaR	regulation of DNA-templated transcription // negative regulation of DNA-templated transcription // regulation of gene expression // phosphorelay signal transduction system // protein destabilization // positive regulation of proteolysis	rssAB // rssB	EG12121		rssAB // rssB
rppH	b2830	2968447	2968977	RNA pyrophosphohydrolase		NAD-cap decapping // tRNA processing // RNA destabilization // RNA decapping // mRNA catabolic process	rppH-ptsP	G7459		rppH-ptsP
ybgE	b0735	774309	774602	PF09600 family protein YbgE	Regulation of ybgE by DNA-binding transcriptional dual regulator Nac		ybgTE	EG12395		ybgTE
smpB	b2620	2754896	2755378	SsrA-binding protein		trans-translation // trans-translation-dependent protein tagging	smpB	EG11782		smpB
hicA	b4532	1509286	1509462	mRNA interferase toxin HicA		regulation of DNA-templated transcription // regulation of growth // mRNA catabolic process	hicAB // hicAB	G0-10451		hicAB // hicAB
yadE	b0130	145081	146310	putative polysaccharide deacetylase lipoprotein YadE		carbohydrate metabolic process	yadE	EG11749		yadE
dgcT	b1025	1092876	1094234	probable diguanylate cyclase DgcT	Regulation of dgcT by DNA-binding transcriptional dual regulator H-NS // Regulation of dgcT by DNA-binding transcriptional dual regulator Nac	single-species submerged biofilm formation	ycdT	G6532		ycdT
tsaB	b1807	1890572	1891267	N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaB subunit		maintenance of translational fidelity // tRNA processing // tRNA threonylcarbamoyladenosine modification	tsaB-yeaY	G6991	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	tsaB-yeaY
yhaV	b3130	3277337	3277801	ribosome-dependent mRNA interferase toxin YhaV		regulation of DNA-templated transcription // single-species biofilm formation // regulation of growth // mRNA catabolic process // negative regulation of cell growth	sohA-yhaV	G7629		sohA-yhaV
ygeG	b2851	2991268	2991759	TPR repeat-containing putative chaperone YgeG			ygeG	G7471		ygeG
yecA	b1908	1990954	1991619	uncharacterized iron-binding protein YecA			yecA	EG11139		yecA
elaD	b2269	2382713	2383924	protease ElaD		proteolysis // protein deubiquitination	elaD	G7176		elaD
prs	b1207	1260928	1261875	ribose-phosphate diphosphokinase		organic substance metabolic process // purine nucleotide biosynthetic process // metabolic process // cellular biosynthetic process // ribonucleoside monophosphate biosynthetic process // phosphorylation // nucleotide biosynthetic process // protein hexamerization // 5-phosphoribose 1-diphosphate biosynthetic process	lolB-ispE-prs // prs	EG10774	superpathway of histidine, purine, and pyrimidine biosynthesis // PRPP biosynthesis	lolB-ispE-prs // prs
yoaC	b1810	1894133	1894432	DUF1889 domain-containing protein YoaC	Regulation of yoaC by DNA-binding transcriptional dual regulator YeiE		yoaC	G6994		yoaC
chaC	b1218	1272507	1273202	glutathione-specific &gamma;-glutamylcyclotransferase		glutathione catabolic process // cilium or flagellum-dependent cell motility	chaC // chaBC	EG12403		chaC // chaBC
tatD	b4483	4023554	4024336	3' &rarr; 5' ssDNA/RNA  exonuclease TatD		DNA metabolic process // nucleic acid phosphodiester bond hydrolysis // response to hydrogen peroxide	tatABC // tatD	EG11481		tatABC // tatD
ycjD	b1289	1351407	1351760	DUF559 domain-containing protein YcjD			ycjD	G6641		ycjD
ycbZ	b0955	1016539	1018299	putative ATP-dependent protease YcbZ		protein catabolic process // proteolysis	ycbZ	G6493		ycbZ
yaiS	b0364	384059	384616	putative deacetylase YaiS			yaiS	G6216		yaiS
yehP	b2121	2207967	2209103	VWA domain-containing protein YehP		bacterial-type flagellum-dependent swarming motility	yehLMPQ	EG12002		yehLMPQ
yjjI	b4380	4615515	4617065	DUF3029 domain-containing protein YjjI		anaerobic respiration // nitrogen compound metabolic process	yjjI	EG12171		yjjI
ygfK	b2878	3016060	3019158	putative oxidoreductase, Fe-S subunit			ygfK-ssnA	G7497		ygfK-ssnA
yedF	b1930	2009479	2009712	putative sulfurtransferase YedF		DNA damage response	yedEF	EG11661		yedEF
dgcQ	b1956	2026323	2028017	diguanylate cyclase DgcQ	Regulation of dgcQ by DNA-binding transcriptional dual regulator Lrp	cell adhesion involved in single-species biofilm formation // cellulose biosynthetic process // negative regulation of bacterial-type flagellum-dependent cell motility	dgcQ	G7049		dgcQ
ypfG	b2466	2581734	2582777	DUF1176 domain-containing protein YpfG			ypfG	G7295		ypfG
ynjH	b1760	1841863	1842135	DUF1496 domain-containing protein YnjH	Regulation of ynjH by DNA-binding transcriptional dual regulator Lrp // Regulation of ynjH by DNA-binding transcriptional dual regulator Nac // Regulation of ynjH by DNA-binding transcriptional repressor GlaR		ynjH // ynjH	G6955		ynjH // ynjH
dgcN	b2604	2742383	2743609	diguanylate cyclase DgcN	Regulation of dgcN by DNA-binding transcriptional repressor GlaR	cell adhesion involved in single-species biofilm formation // signal transduction // cellular response to cell envelope stress // negative regulation of bacterial-type flagellum-dependent cell motility	yfiRN // yfiR-dgcN-yfiB	EG12880		yfiRN // yfiR-dgcN-yfiB
ymgG	b1172	1222644	1222988	PF13436 family protein YmgG			ymgGD	G6612		ymgGD
rhsD	b0497	523261	527541	protein RhsD	Regulation of rhsD by DNA-binding transcriptional repressor GlaR	cellular response to sulfur starvation	rhsD-ybbC-ylbH-ybbD	EG10849		rhsD-ybbC-ylbH-ybbD
yaaX	b0005	5234	5530	DUF2502 domain-containing protein YaaX	Regulation of yaaX by DNA-binding transcriptional dual regulator Lrp		yaaX	G6081		yaaX
cheY	b1882	1967048	1967437	CheY-acetylated // CheY-P<sup>asp</sup> // chemotaxis protein CheY		regulation of chemotaxis // bacterial-type flagellum-dependent swimming motility // phosphorelay signal transduction system // archaeal or bacterial-type flagellum-dependent cell motility // regulation of bacterial-type flagellum-dependent cell motility // aerotaxis // thermotaxis // signal transduction // internal peptidyl-lysine acetylation // chemotaxis	tar-tap-cheRBYZ	EG10150	Aerotactic Two-Component Signal Transduction System // Chemotactic Two-Component Signal Transduction	tar-tap-cheRBYZ
yehM	b2120	2205695	2207974	uncharacterized protein YehM			yehLMPQ	EG11999		yehLMPQ
yafD	b0209	231122	231922	endonuclease/exonuclease/phosphatase domain-containing protein YafD	Regulation of yafD by DNA-binding transcriptional dual regulator Nac		yafDE	EG11650		yafDE
yfiR	b2603	2741875	2742393	DUF4154 domain-containing protein YfiR	Regulation of yfiR by DNA-binding transcriptional dual regulator Nac // Regulation of yfiR by DNA-binding transcriptional repressor GlaR	bacterial-type flagellum-dependent swarming motility	yfiRN // yfiR-dgcN-yfiB	G7354		yfiRN // yfiR-dgcN-yfiB
yjfY	b4199	4424516	4424791	DUF1471 domain-containing protein YjfY			yjfY	G7861		yjfY
ypjB	b2649	2783638	2784429	DUF5508 domain-containing protein YpjB			ypjB	G7384		ypjB
yfcO	b2332	2449228	2450049	DUF2544 domain-containing protein YfcO	Regulation of yfcO by DNA-binding transcriptional dual regulator Nac // Regulation of yfcO by DNA-binding transcriptional repressor GlaR		yfcUSRQPO	G7203		yfcUSRQPO
